iter	MultiClass
150	0.3000007575
151	0.2968741341
152	0.2938425876
153	0.2892925951
154	0.2862854286
155	0.2830725851
156	0.2796181279
157	0.276797317
158	0.2740696469
159	0.2708386993
160	0.2680381763
161	0.2653289906
162	0.2626957043
163	0.2602327078
164	0.2578919857
165	0.255356593
166	0.2529261308
167	0.2504653114
168	0.2481966591
169	0.2457194546
170	0.2434701774
171	0.2408601443
172	0.2386236229
173	0.2363651723
174	0.2342655513
175	0.2315976657
176	0.2295824903
177	0.227589266
178	0.2253750752
179	0.2233699105
180	0.2214007911
181	0.219257491
182	0.2175836276
183	0.21554004
184	0.2137480834
185	0.2119871722
186	0.2100937808
187	0.2083927602
188	0.206482006
189	0.2047578523
190	0.2029280344
191	0.2012661041
192	0.1995758881
193	0.1978283079
194	0.1963232473
195	0.1948342672
196	0.1932885936
197	0.1918687271
198	0.1903408261
199	0.1889387343
200	0.1871624871
201	0.1857384266
202	0.1843699904
203	0.1829538954
204	0.1816640593
205	0.1801909572
206	0.1788563892
207	0.1775821431
208	0.1763285427
209	0.174544844
210	0.1732081734
211	0.1719721424
212	0.1707629574
213	0.1694580688
214	0.1681280142
215	0.1669217767
216	0.1655165797
217	0.1642553952
218	0.1631777059
219	0.162005248
220	0.1608814973
221	0.1598303101
222	0.1587495932
223	0.1576087792
224	0.1563661455
225	0.1552354064
226	0.1540870444
227	0.1531256778
228	0.152192925
229	0.1511425169
230	0.1501391743
231	0.1492156011
232	0.1482995651
233	0.1473588669
234	0.1463766118
235	0.1453984883
236	0.1445041166
237	0.1434751743
238	0.1425710787
239	0.1416459682
240	0.1408328739
241	0.1399982744
242	0.1391928614
243	0.1383718388
244	0.1375334749
245	0.1367587713
246	0.1359400759
247	0.1351005467
248	0.1342872851
249	0.1334919489
250	0.1327592428
251	0.1319747778
252	0.1312257469
253	0.1304363444
254	0.1296241445
255	0.1288965791
256	0.128124815
257	0.127436046
258	0.1267636468
259	0.1260884136
260	0.1254174396
261	0.1247370751
262	0.1240598772
263	0.1232642976
264	0.1225762226
265	0.1218647486
266	0.1212136269
267	0.1205010289
268	0.1197996968
269	0.1189607602
270	0.1182691553
271	0.1176299066
272	0.1169824492
273	0.116375585
274	0.1157380894
275	0.1151486066
276	0.1145864398
277	0.1139398612
278	0.1133044935
279	0.1127488683
280	0.1121977247
281	0.1115889378
282	0.1110240783
283	0.1104546643
284	0.1099164029
285	0.1093731751
286	0.1087410472
287	0.1082069178
288	0.1076881058
289	0.107192771
290	0.1066243724
291	0.1060548188
292	0.1055057264
293	0.1048728333
294	0.104326431
295	0.1038436936
296	0.1033313056
297	0.1028671582
298	0.1023543517
299	0.1018761946
300	0.1013990273
301	0.1009358152
302	0.1004421672
303	0.09993008239
304	0.09947353012
305	0.09900844234
306	0.09853218419
307	0.09804483392
308	0.09761562902
309	0.0972024213
310	0.09674873855
311	0.0963099083
312	0.09581623976
313	0.09538304504
314	0.09497757042
315	0.09457515423
316	0.09413470447
317	0.09358115721
318	0.09316461844
319	0.09277217143
320	0.09238414266
321	0.09199043266
322	0.09160673586
323	0.09119466292
324	0.09079977478
325	0.09028463275
326	0.08991536026
327	0.08952950291
328	0.0891200006
329	0.08875608823
330	0.08838126857
331	0.08801608184
332	0.08766278115
333	0.08729121212
334	0.0868955833
335	0.0864903577
336	0.08612630679
337	0.0857771667
338	0.0854288701
339	0.08507183756
340	0.08468676874
341	0.08437068721
342	0.083986827
343	0.08365808166
344	0.08331378002
345	0.0829962023
346	0.08264171886
347	0.08230953717
348	0.08199506259
349	0.08165042299
350	0.0813223873
351	0.08101168648
352	0.08067952111
353	0.08036606974
354	0.08006916525
355	0.07976234754
356	0.07944749111
357	0.07915499419
358	0.07885528639
359	0.07853795925
360	0.07822213811
361	0.07793532506
362	0.07761480967
363	0.07730593455
364	0.07702972806
365	0.07670460184
366	0.07642466641
367	0.0761476529
368	0.07587998541
369	0.07556994383
370	0.07527517328
371	0.07499719674
372	0.07472343598
373	0.07446346437
374	0.07414148718
375	0.07388030303
376	0.07362311736
377	0.07332428845
378	0.07309398954
379	0.07281701216
380	0.07252843783
381	0.07226793636
382	0.07202393766
383	0.0717854316
384	0.07152783086
385	0.07126440887
386	0.0710255602
387	0.07078271749
388	0.07051571879
389	0.0702771325
390	0.07003103585
391	0.06979099016
392	0.06951946948
393	0.06929107445
394	0.06906854577
395	0.06882450247
396	0.06856680032
397	0.06835250293
398	0.06807906691
399	0.06783352474
400	0.06758948151
401	0.06736040453
402	0.06713586558
403	0.06691037278
404	0.06669959393
405	0.06648044355
406	0.06626313747
407	0.06602339645
408	0.06582004119
409	0.06561047901
410	0.06538907098
411	0.06516582163
412	0.06496129323
413	0.06476014443
414	0.06455202629
415	0.06436039372
416	0.06416073068
417	0.06396704647
418	0.06377469902
419	0.06357315438
420	0.06335572627
421	0.06315862339
422	0.06296493208
423	0.06275651231
424	0.06256940105
425	0.06238400566
426	0.06218378929
427	0.06196748819
428	0.0617649547
429	0.06158537044
430	0.06136088861
431	0.06116688042
432	0.06096813123
433	0.0607728976
434	0.06058433723
435	0.06040799807
436	0.06023011473
437	0.06005578462
438	0.05986812526
439	0.05968108828
440	0.0595125442
441	0.05933875348
442	0.05914278099
443	0.05895032187
444	0.05878738626
445	0.05861221026
446	0.05843636585
447	0.05825880482
448	0.05809848058
449	0.05791507814
450	0.05776067691
451	0.05757996977
452	0.05740767736
453	0.05724287114
454	0.05708155052
455	0.05690574807
456	0.05674058195
457	0.05657391864
458	0.05641099214
459	0.05624740054
460	0.05610034904
461	0.05595229338
462	0.05580347243
463	0.05565992882
464	0.05550560833
465	0.05533669065
