iter	MultiClass
0	3.117234718
1	3.064226499
2	3.017277437
3	2.950584015
4	2.898166813
5	2.824492621
6	2.779324992
7	2.723868475
8	2.628017139
9	2.577507647
10	2.519040128
11	2.472877887
12	2.421585781
13	2.365957326
14	2.322510047
15	2.279036082
16	2.239127175
17	2.191511105
18	2.155764115
19	2.11532273
20	2.078457619
21	2.027946969
22	1.997834993
23	1.960236628
24	1.923155551
25	1.888620248
26	1.855336072
27	1.824579952
28	1.783011103
29	1.745270106
30	1.70506571
31	1.671719796
32	1.643859192
33	1.616836323
34	1.588634047
35	1.557463621
36	1.528709979
37	1.503333868
38	1.475611533
39	1.450898518
40	1.426930999
41	1.401555344
42	1.384726968
43	1.364563053
44	1.3518642
45	1.325901536
46	1.303035792
47	1.281117325
48	1.257520402
49	1.237744951
50	1.2155856
51	1.193823424
52	1.172878259
53	1.153109514
54	1.131432337
55	1.11243198
56	1.093062496
57	1.075267137
58	1.056776704
59	1.035292569
60	1.018106437
61	1.001757043
62	0.9947525438
63	0.9790245704
64	0.9634033858
65	0.9482941564
66	0.9350645853
67	0.9201443305
68	0.9063783323
69	0.8905456916
70	0.8764552497
71	0.8647072766
72	0.8501139469
73	0.8360584726
74	0.8239873863
75	0.8105645466
76	0.7984642898
77	0.7861629554
78	0.7730559482
79	0.761948354
80	0.7537017518
81	0.7419928076
82	0.7309905854
83	0.7205132715
84	0.7099431266
85	0.6996392646
86	0.6871989314
87	0.6769721001
88	0.6684204048
89	0.6589814995
90	0.649887069
91	0.6407694667
92	0.6303107726
93	0.6211560999
94	0.6124760146
95	0.603515857
96	0.5942460077
97	0.5853688526
98	0.5772082586
99	0.5690473088
100	0.5613798847
101	0.5531141269
102	0.5453537866
103	0.5374708729
104	0.5306421799
105	0.5227775845
106	0.5155274754
107	0.5077957088
108	0.5008487869
109	0.4941386112
110	0.4877429879
111	0.4815232247
112	0.4749789108
113	0.4688131954
114	0.4628179882
115	0.4567671942
116	0.451099937
117	0.4456214233
118	0.439889728
119	0.4345009094
120	0.428590992
121	0.4233837068
122	0.4181248472
123	0.4131441169
124	0.4080085358
125	0.4027891555
126	0.3980116854
127	0.3932853418
128	0.3881891306
129	0.3832413463
130	0.3787259431
131	0.3739245194
132	0.3697767785
133	0.3655409097
134	0.3614366639
135	0.3571554724
136	0.3528131974
137	0.3487352856
138	0.3445642874
139	0.3407513023
140	0.3367849124
141	0.3331307283
142	0.3290074455
143	0.3250230986
144	0.3211273809
145	0.3171970858
146	0.3138411724
147	0.3104847919
148	0.3069211042
149	0.3033483876
